City,Pincode,Has Cod,Has Prepaid,Has Reverse,Shiprocket Delivery Zone,Routing Code,State
LAKHERI,325008,1,1,1,z_d,N/S-11/22A/008,RAJASTHAN
Itawa,325009,1,1,1,z_d,KTA/TRP,RAJASTHAN
KOTA,325201,1,1,1,z_d,,RAJASTHAN
Baran,325202,1,1,1,z_d,KTU/TRN,RAJASTHAN
KOTA,325203,1,1,1,z_d,,RAJASTHAN
KOTA,325204,1,1,1,z_d,,RAJASTHAN
Baran,325205,1,1,1,z_d,KTU/TRN,RAJASTHAN
BARAN,325206,1,1,1,z_d,,RAJASTHAN
Baran,325207,1,1,1,z_d,KTU/TRN,RAJASTHAN
BARAN,325208,1,1,1,z_d,,RAJASTHAN
Baran,325209,1,1,1,z_d,KTU/TRN,RAJASTHAN
ANTA,325210,1,1,1,z_d,N/S-11/6B/210,RAJASTHAN
Itawa,325214,1,1,1,z_d,KTA/TRP,RAJASTHAN
BARAN,325215,1,1,1,z_d,,RAJASTHAN
BARAN,325216,1,1,1,z_d,,RAJASTHAN
BARAN,325217,1,1,1,z_d,,RAJASTHAN
BARAN,325218,1,1,1,z_d,,RAJASTHAN
BARAN,325219,1,1,1,z_d,,RAJASTHAN
Chhabra,325220,1,1,1,z_d,IDR/CNT,RAJASTHAN
BARAN,325221,1,1,1,z_d,,RAJASTHAN
Baran,325222,1,1,1,z_d,KTU/TRN,RAJASTHAN
BARAN,325223,1,1,1,z_d,,RAJASTHAN
Baran,325224,1,1,1,z_d,N/S-11/6A/224,RAJASTHAN
AKLERA,325225,1,1,1,z_d,RJ/JWH/AKE,RAJASTHAN
RAMGANJ MANDI,325226,1,1,1,z_d,N/S-11/4C/226,RAJASTHAN
RAMGANJ MANDI,325227,1,1,1,z_d,N/S-11/4C/227,RAJASTHAN
KOTA,325601,1,1,1,z_d,,RAJASTHAN
KOTA,325602,1,1,1,z_d,,RAJASTHAN
Jhalawar,326001,1,1,1,z_d,KTA/TRP,RAJASTHAN
Aklera,326003,1,1,1,z_d,GUN/MTI,RAJASTHAN
JHALAWAR,326021,1,1,1,z_d,,RAJASTHAN
JHALAWAR,326022,1,1,1,z_d,,RAJASTHAN
Jhalawar,326023,1,1,1,z_d,KTA/TRP,RAJASTHAN
JHALAWAR,326024,1,1,1,z_d,N/S-11/4A/024,RAJASTHAN
AKLERA,326030,1,1,1,z_d,RJ/JWH/AKE,RAJASTHAN
Aklera,326033,1,1,1,z_d,AKL/MGT,RAJASTHAN
Bhawani Mandi,326034,1,1,1,z_d,KTU/TRN,RAJASTHAN
JHALAWAR,326035,1,1,1,z_d,,RAJASTHAN
JHALAWAR,326036,1,1,1,z_d,,RAJASTHAN
Aklera,326037,1,1,1,z_d,IDR/DNH,RAJASTHAN
JHALAWAR,326038,1,1,1,z_d,,RAJASTHAN
Aklera,326039,1,1,1,z_d,AKL/MGT,RAJASTHAN
JHALAWAR,326040,1,1,1,z_d,N/S-11/4A/040,RAJASTHAN
JHALAWAR,326041,1,1,1,z_d,N/S-11/4A/041,RAJASTHAN
Bhawani Mandi,326501,1,1,1,z_d,KTU/TRN,RAJASTHAN
Bhawani Mandi,326502,1,1,1,z_d,KTU/TRN,RAJASTHAN
RAMGANJ MANDI,326503,1,1,1,z_d,N/S-11/4C/503,RAJASTHAN
Ramganj Mandi,326510,1,1,1,z_d,KTU/TRN,RAJASTHAN
Bhawani Mandi,326512,1,1,1,z_d,KTU/TRN,RAJASTHAN
Bhawani Mandi,326513,1,1,1,z_d,KTU/TRN,RAJASTHAN
Chaumahla,326514,1,1,1,z_d,IDR/DNH,RAJASTHAN
Chaumahla,326515,1,1,1,z_d,CHM/RPA,RAJASTHAN
Chaumahla,326516,1,1,1,z_d,CHM/RPA,RAJASTHAN
Ramganj Mandi,326517,1,1,1,z_d,RMG/GUN,RAJASTHAN
Ramganj Mandi,326518,1,1,1,z_d,KTA/TRP,RAJASTHAN
Ramganj Mandi,326519,1,1,1,z_d,RMG/GUN,RAJASTHAN
Ramganj Mandi,326520,1,1,1,z_d,RMG/GUN,RAJASTHAN
RAMGANJ MANDI,326521,1,1,1,z_d,N/S-11/4C/521,RAJASTHAN
Ramganj Mandi,326529,1,1,1,z_d,RMG/GUN,RAJASTHAN
Ramganj Mandi,326530,1,1,1,z_d,RMG/GUN,RAJASTHAN
Banswara,327001,1,1,1,z_d,UDZ/MNI,RAJASTHAN
Banswara,327002,1,1,1,z_d,UDZ/MNI,RAJASTHAN
Banswara,327007,1,1,1,z_d,UDZ/MNI,RAJASTHAN
BANSWARA,327021,1,1,1,z_d,,RAJASTHAN
Sagwara,327022,1,1,1,z_d,SGW/KSH,RAJASTHAN
BANSWARA,327023,1,1,1,z_d,,RAJASTHAN
Banswara,327024,1,1,1,z_d,UDP/BWH,RAJASTHAN
Banswara,327025,1,1,1,z_d,UDZ/MNI,RAJASTHAN
Banswara,327026,1,1,1,z_d,UDP/BWH,RAJASTHAN
BANSWARA,327027,1,1,1,z_d,,RAJASTHAN
GHATOL,327028,1,1,1,z_d,RJ/BIH/GHL,RAJASTHAN
GHATOL,327029,1,1,1,z_d,RJ/BIH/GHL,RAJASTHAN
Banswara,327030,1,1,1,z_d,N/S-11/3B/030,RAJASTHAN
BANSWARA,327031,1,1,1,z_d,,RAJASTHAN
BANSWARA,327032,1,1,1,z_d,,RAJASTHAN
